24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply,timestamp
71006300,17858987467,stellar,1514408944,3928852230,,Stellar,-0.92,0.57,-13.18,1.483e-05,0.219993,14,XLM,103550799663,2017-12-28 05:09:04
517265000,73764380,qtum,1514408951,3914225684,,Qtum,0.02,-4.9,-17.68,0.00357805,53.0639,15,QTUM,100264380,2017-12-28 05:09:11
211898000,98685183,ethereum-classic,1514408947,3096553541,,Ethereum Classic,-0.52,-4.08,-27.19,0.00211579,31.3781,16,ETC,98685183,2017-12-28 05:09:07
74878000,116382760,lisk,1514408946,2705573298,,Lisk,-0.58,-1.29,18.89,0.00156754,23.2472,17,LSK,116382760,2017-12-28 05:09:06
68565400,6024911,bitconnect,1514408949,2419176681,28000000.0,BitConnect,-0.75,-4.56,9.78,0.0270747,401.529,18,BCC,9417818,2017-12-28 05:09:09
171870000,65748192475,tron,1514408954,2359985345,,TRON,0.33,-3.07,-19.85,2.42e-06,0.0358943,19,TRX,100000000000,2017-12-28 05:09:14
425419000,14398036647,verge,1514408943,2030871865,16555000000.0,Verge,-0.84,-23.88,-1.1,9.51e-06,0.141052,20,XVG,14398036647,2017-12-28 05:09:03
11939200000,16766512,bitcoin,1514409260,257365959200,21000000.0,Bitcoin,0.04,-5.9,-8.32,1.0,15350.0,1,BTC,16766512,2017-12-28 05:14:20
2048850000,96607652,ethereum,1514409249,72526166259,,Ethereum,0.07,-2.43,-8.3,0.0500524,750.729,2,ETH,96607652,2017-12-28 05:14:09
2660850000,38739144847,ripple,1514409241,54123621440,100000000000.0,Ripple,-0.85,25.27,75.83,9.315e-05,1.39713,3,XRP,99993093880,2017-12-28 05:14:01
1426440000,16879238,bitcoin-cash,1514409253,47355713561,21000000.0,Bitcoin Cash,0.15,-5.98,-28.08,0.187052,2805.56,4,BCH,16879238,2017-12-28 05:14:13
765565000,54499533,litecoin,1514409241,14644406055,84000000.0,Litecoin,-0.12,-6.4,-15.84,0.0179152,268.707,5,LTC,54499533,2017-12-28 05:14:01
78544100,25927070538,cardano,1514409255,10527090669,45000000000.0,Cardano,0.5,-3.06,-15.0,2.707e-05,0.406027,6,ADA,31112483745,2017-12-28 05:14:15
299174000,2779530283,iota,1514409251,10488668704,2779530283.0,IOTA,0.29,2.05,-26.13,0.00025159,3.77354,7,MIOTA,2779530283,2017-12-28 05:14:11
210637000,7778820,dash,1514409241,9155437353,18900000.0,Dash,0.36,-2.3,-24.58,0.0784709,1176.97,8,DASH,7778820,2017-12-28 05:14:01
52840800,8999999999,nem,1514409244,8390600999,,NEM,2.06,-1.09,-0.55,6.216e-05,0.932289,9,XEM,8999999999,2017-12-28 05:14:04
237899000,15529227,monero,1514409243,6262610991,,Monero,0.83,7.51,-9.96,0.0268873,403.279,10,XMR,15529227,2017-12-28 05:14:03
514420000,566897067,eos,1514409251,5911999447,,EOS,1.9,7.43,-13.28,0.0006953,10.4287,11,EOS,1000000000,2017-12-28 05:14:11
131282000,16730561,bitcoin-gold,1514409255,5272736711,21000000.0,Bitcoin Gold,0.88,2.57,-31.4,0.021012,315.156,12,BTG,16830561,2017-12-28 05:14:15
156542000,65000000,neo,1514409247,4174501500,,NEO,-0.3,1.9,-10.96,0.00428186,64.2231,13,NEO,100000000,2017-12-28 05:14:07
516751000,73764380,qtum,1514409250,3976113999,,Qtum,1.68,-3.39,-16.4,0.0035938,53.9029,14,QTUM,100264380,2017-12-28 05:14:10
71624700,17858987467,stellar,1514409243,3957640918,,Stellar,-0.1,1.25,-12.58,1.477e-05,0.221605,15,XLM,103550799663,2017-12-28 05:14:03
213009000,98685183,ethereum-classic,1514409247,3110478020,,Ethereum Classic,0.02,-3.64,-26.86,0.00210144,31.5192,16,ETC,98685183,2017-12-28 05:14:07
75615000,116382760,lisk,1514409246,2726498919,,Lisk,0.23,-0.51,19.81,0.00156192,23.427,17,LSK,116382760,2017-12-28 05:14:06
69222500,6024911,bitconnect,1514409248,2447355192,28000000.0,BitConnect,0.43,-3.38,11.1,0.0270825,406.206,18,BCC,9417818,2017-12-28 05:14:08
173991000,65748192475,tron,1514409254,2385679739,,TRON,1.82,-2.02,-19.06,2.42e-06,0.0362851,19,TRX,100000000000,2017-12-28 05:14:14
436886000,14398036647,verge,1514409244,2081999293,16555000000.0,Verge,3.89,-22.27,1.29,9.64e-06,0.144603,20,XVG,14398036647,2017-12-28 05:14:04
2676020000,38739144847,ripple,1514409541,54255334533,100000000000.0,Ripple,-0.38,25.32,76.03,9.281e-05,1.40053,3,XRP,99993093880,2017-12-28 05:19:01
769285000,54499833,litecoin,1514409541,14696861007,84000000.0,Litecoin,0.33,-6.06,-15.53,0.0178706,269.668,5,LTC,54499833,2017-12-28 05:19:01
211789000,7778838,dash,1514409541,9173427671,18900000.0,Dash,0.55,-2.1,-24.42,0.0781492,1179.28,8,DASH,7778838,2017-12-28 05:19:01
53054200,8999999999,nem,1514409544,8438975999,,NEM,2.55,-0.57,0.02,6.214e-05,0.937664,9,XEM,8999999999,2017-12-28 05:19:04
238843000,15529227,monero,1514409542,6277053172,,Monero,1.07,7.78,-9.79,0.0267865,404.209,10,XMR,15529227,2017-12-28 05:19:02
157427000,65000000,neo,1514409547,4205578000,,NEO,0.44,2.68,-10.36,0.00428767,64.7012,13,NEO,100000000,2017-12-28 05:19:07
72329500,17858987467,stellar,1514409543,3979625331,,Stellar,0.45,1.72,-12.12,1.477e-05,0.222836,14,XLM,103550799663,2017-12-28 05:19:03
516751000,73764380,qtum,1514409250,3976113999,,Qtum,1.68,-3.39,-16.4,0.0035938,53.9029,15,QTUM,100264380,2017-12-28 05:14:10
213444000,98685536,ethereum-classic,1514409547,3119775455,,Ethereum Classic,0.3,-3.35,-26.64,0.00209497,31.6133,16,ETC,98685536,2017-12-28 05:19:07
76024200,116383244,lisk,1514409546,2745783322,,Lisk,0.83,0.2,20.64,0.00156345,23.5926,17,LSK,116383244,2017-12-28 05:19:06
433362000,14398036647,verge,1514409543,2061453295,16555000000.0,Verge,2.86,-22.97,0.18,9.49e-06,0.143176,20,XVG,14398036647,2017-12-28 05:19:03
12001700000,16766512,bitcoin,1514409560,258683807043,21000000.0,Bitcoin,0.57,-5.4,-7.82,1.0,15428.6,1,BTC,16766512,2017-12-28 05:19:20
2060460000,96607954,ethereum,1514409549,72892247279,,Ethereum,0.55,-1.9,-7.83,0.0500008,754.516,2,ETH,96607954,2017-12-28 05:19:09
1436370000,16879238,bitcoin-cash,1514409553,47621730344,21000000.0,Bitcoin Cash,0.76,-5.48,-27.66,0.186966,2821.32,4,BCH,16879238,2017-12-28 05:19:13
79076000,25927070538,cardano,1514409554,10591726856,45000000000.0,Cardano,1.12,-2.46,-14.49,2.707e-05,0.40852,6,ADA,31112483745,2017-12-28 05:19:14
299707000,2779530283,iota,1514409551,10499731235,2779530283.0,IOTA,0.46,2.0,-26.03,0.00025033,3.77752,7,MIOTA,2779530283,2017-12-28 05:19:11
514146000,566898749,eos,1514409551,5893479397,,EOS,1.3,7.08,-13.52,0.00068893,10.396,11,EOS,1000000000,2017-12-28 05:19:11
131209000,16730611,bitcoin-gold,1514409555,5264136204,21000000.0,Bitcoin Gold,0.87,2.43,-31.49,0.0208509,314.641,12,BTG,16830611,2017-12-28 05:19:15
524252000,73764412,qtum,1514409550,3935353510,,Qtum,0.38,-4.36,-17.27,0.00353546,53.3503,15,QTUM,100264412,2017-12-28 05:19:10
69501600,6024987,bitconnect,1514409550,2462484329,28000000.0,BitConnect,0.85,-2.67,11.83,0.0270849,408.712,18,BCC,9417893,2017-12-28 05:19:10
175149000,65748192475,tron,1514409553,2398066698,,TRON,2.35,-1.52,-18.72,2.42e-06,0.0364735,19,TRX,100000000000,2017-12-28 05:19:13
12041900000,16766512,bitcoin,1514409860,259678061205,21000000.0,Bitcoin,1.13,-5.03,-7.44,1.0,15487.9,1,BTC,16766512,2017-12-28 05:24:20
2066240000,96607954,ethereum,1514409848,72926929535,,Ethereum,0.67,-1.86,-7.78,0.0500707,754.875,2,ETH,96607954,2017-12-28 05:24:08
2707530000,38739144847,ripple,1514409840,54687275998,100000000000.0,Ripple,0.3,26.26,77.38,9.364e-05,1.41168,3,XRP,99993093880,2017-12-28 05:24:00
1438940000,16879238,bitcoin-cash,1514409852,47586452737,21000000.0,Bitcoin Cash,0.82,-5.57,-27.69,0.186999,2819.23,4,BCH,16879238,2017-12-28 05:24:12
769523000,54499833,litecoin,1514409841,14715935948,84000000.0,Litecoin,0.62,-5.88,-15.41,0.0179102,270.018,5,LTC,54499833,2017-12-28 05:24:01
302641000,2779530283,iota,1514409850,10578419737,2779530283.0,IOTA,1.29,2.77,-25.45,0.00025244,3.80583,6,MIOTA,2779530283,2017-12-28 05:24:10
79029100,25927070538,cardano,1514409854,10569196232,45000000000.0,Cardano,0.84,-2.73,-14.69,2.704e-05,0.407651,7,ADA,31112483745,2017-12-28 05:24:14
212035000,7778838,dash,1514409841,9174516708,18900000.0,Dash,0.6,-2.08,-24.41,0.0782309,1179.42,8,DASH,7778838,2017-12-28 05:24:01
53112300,8999999999,nem,1514409844,8431334999,,NEM,2.34,-0.71,-0.07,6.214e-05,0.936815,9,XEM,8999999999,2017-12-28 05:24:04
239150000,15529227,monero,1514409842,6279118559,,Monero,1.15,7.86,-9.8,0.0268199,404.342,10,XMR,15529227,2017-12-28 05:24:02
515781000,566898749,eos,1514409851,5906688138,,EOS,1.39,7.27,-13.29,0.00069111,10.4193,11,EOS,1000000000,2017-12-28 05:24:11
131432000,16730611,bitcoin-gold,1514409855,5254683408,21000000.0,Bitcoin Gold,0.9,2.27,-31.59,0.0208326,314.076,12,BTG,16830611,2017-12-28 05:24:15
157706000,65000000,neo,1514409847,4210290500,,NEO,0.62,2.82,-10.32,0.00429642,64.7737,13,NEO,100000000,2017-12-28 05:24:07
72326900,17858987467,stellar,1514409843,3988197645,,Stellar,0.66,1.93,-11.97,1.481e-05,0.223316,14,XLM,103550799663,2017-12-28 05:24:03
